#Comida;Arroz con champiñones y queso feta. Pavo;Arroz:120:g:Champiñones:::Queso feta:50:g:Pavo:120:g
#Comida;Pasta con huevos cocidos, hummus, verdura y aguacate;Pasta:120:g:Huevo:2::Hummus:60:g:Verdura:::Aguacate:0.5:
#Comida;Pavo, boniato y verdura;Boniato:180:g:Verdura:::Pavo:120:g
#Comida;Muslos de pollo con boniato;Boniato:180:g:Muslos pollo:2::Cebolla:::Tomate::
#Comida;Patata al horno con verdura y burger vegetal;Patata:160:g:Verdura:::Burger veget.:120:g
#Comida;Ensalada de arroz y quinoa;Arroz:60:g:Quinoa:60:g:Zanahoria:::Tomate:::Aceitunas negras:5::Aguacate:0.5::Semillas::
#Comida;Pasta con cangrejo y lechuga. Pescado;Pasta:120:g:Palitos cangrejo:2::Pescado:120:g:Lechuga::
#Comida;Pasta con champiñones y tortilla;Pasta:120:g:Champiñones:::Pimiento:::Huevo:1::Claras:80:ml:Especias::
Comida;Arroz con verduras y pollo;Arroz:80:g:Verdura:::Pollo:150:g
Comida;Arroz con verduras y pavo;Arroz:80:g:Verdura:::Pavo:150:g
#Comida;Arroz con berenjena y tofu;Arroz:120:g:Berenjena:::Pimiento:::Frutos secos:15:g:Tofu:100:g
#Comida;Pasta con verdura y burger;Pasta:120:g:Verdura:::Burger:120:g:
#Comida;Ternera con guisantes y calabacín;Ternera:120:g:Guisantes:170:g:Calabacín::
#Comida;Ensalada de quinoa y canónigos. Burger;Quinoa:120:g:Burger:120:g:Tomate:::Pepino:::Canónigos:::Frutos secos:15:g
#Comida;Patata al horno con berenjena. Pescado;Patata:160:g:Berenjena:::Pescado:120:g
#Comida;Pasta con champiñones y huevos a la plancha;Pasta:120:g:Tomate:::Champiñones:::Tomate tami.:2:cuch.:Especias:::Huevo:2:
#Comida;Boniato, calabacín y burger;Boniato:180:g:Calabacín:::Burger:120:g
#Comida;Pasta con gambas, tofu y verdura;Pasta:120:g:Tomate tami.:2:cuch.:Gambitas:40:g:Verdura:::Tofu:100:g
